City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
310,Ust-Koksa,RU,50.2696,85.6108,47.59,56,0,1.21,clear sky
311,Namibe,AO,-15.1961,12.1522,70.7,73,26,15.57,scattered clouds
312,Yubari,JP,43.0378,141.9578,66.94,97,100,6.38,light rain
313,Komsomolskiy,UZ,40.4272,71.7189,83.12,24,2,6.91,clear sky
314,Cap Malheureux,MU,-19.9842,57.6142,72.46,71,60,7.0,broken clouds
315,Mankono,CI,8.0586,-6.1897,80.85,69,78,8.79,broken clouds
316,Kumo,NG,10.0447,11.2122,80.6,67,100,5.14,light rain
317,Rio Grande,BR,-32.035,-52.0986,69.91,74,100,18.75,overcast clouds
318,Yellowknife,CA,62.456,-114.3525,43.32,100,75,12.66,mist
319,Taoudenni,ML,22.6783,-3.9836,104.61,12,17,6.31,few clouds
320,Palm Springs,US,33.8303,-116.5453,75.04,55,0,1.99,clear sky
321,Shagamu,NG,6.8432,3.6478,80.64,79,100,6.04,light rain
322,Vaitape,PF,-16.5167,-151.75,76.89,78,1,20.33,light rain
323,Waipawa,NZ,-41.4122,175.5153,42.35,84,100,5.1,overcast clouds
324,Puerto Ayacucho,VE,5.6639,-67.6236,77.81,87,67,3.0,broken clouds
325,Lisakovsk,KZ,52.5369,62.4936,69.75,28,99,5.46,overcast clouds
326,Caravelas,BR,-17.7125,-39.2481,69.48,74,100,6.76,overcast clouds
327,Seoul,KR,37.5683,126.9778,81.84,66,100,6.87,overcast clouds
328,Cururupu,BR,-1.8283,-44.8683,83.66,65,88,7.38,overcast clouds
329,Zhangye,CN,38.9342,100.4517,58.3,81,100,11.79,overcast clouds
330,Atasu,KZ,48.6814,71.6433,64.31,18,0,7.96,clear sky
331,Muros,ES,42.7762,-9.0603,82.09,53,100,3.91,overcast clouds
332,Onokhoy,RU,51.932,108.0747,44.35,66,0,5.01,clear sky
333,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,97.47,24,40,7.09,scattered clouds
334,Te Anau,NZ,-45.4167,167.7167,41.45,92,100,2.1,light rain
335,Fairbanks,US,64.8378,-147.7164,45.61,90,100,3.44,overcast clouds
336,Pinotepa Nacional,MX,16.3167,-98.0167,71.55,96,100,0.67,overcast clouds
337,Missao Velha,BR,-7.2497,-39.1431,88.38,35,71,6.38,broken clouds
338,Charters Towers,AU,-20.1,146.2667,72.91,78,54,9.31,broken clouds
339,Pyaozerskiy,RU,65.8333,31.1667,51.42,89,100,8.48,overcast clouds
340,Vostok,RU,46.4856,135.8833,55.53,98,2,5.12,clear sky
341,Zhigansk,RU,66.7697,123.3711,33.8,97,100,14.05,light snow
342,Fuerte,PH,17.5381,120.3644,80.1,82,52,7.43,broken clouds
343,Baykit,RU,61.67,96.37,47.1,98,100,3.53,light rain
344,San Patricio,US,28.017,-97.5169,84.09,78,2,4.9,clear sky
345,Outlook,CA,51.5001,-107.0513,47.05,58,6,6.67,clear sky
